,word,tag,level_freq@a1,level_freq@a2,level_freq@b1,level_freq@b2,level_freq@c1,total_freq@total,nb_doc@a1,nb_doc@a2,nb_doc@b1,nb_doc@b2,nb_doc@c1,nb_doc@total
14202,uncertain,JJ,0.0,0.2913,0.0,13.7287,22.6907,10.2373,0.0,1.0,0.0,5.0,6.0,12.0
14203,uncertainly,RB,0.0,0.0,0.0,10.38,5.057,4.0335,0.0,0.0,0.0,4.0,2.0,6.0
14204,uncertainty,NN,0.0,0.0,1.3622,0.0,5.0999,1.5272,0.0,0.0,1.0,0.0,2.0,3.0
14205,unchanged,JJ,0.0,0.0,0.0,0.8294,0.9357,0.7051,0.0,0.0,0.0,1.0,1.0,2.0
14206,unchanging,JJ,0.0,0.0,2.1495,0.0,0.8152,0.6768,0.0,0.0,1.0,0.0,1.0,2.0
14207,uncivilized,JJ,0.0,0.0,0.0,0.0,1.0665,0.0796,0.0,0.0,0.0,0.0,1.0,1.0
14208,uncle,NN,15.8727,5.8264,35.696,18.1556,9.9236,27.3471,2.0,7.0,9.0,5.0,3.0,26.0
14209,unclear,JJ,0.0,0.0,0.0,0.7308,0.0,0.0621,0.0,0.0,0.0,1.0,0.0,1.0
14210,unclosing,JJ,0.0,0.0,0.0,2.0187,0.0,0.1716,0.0,0.0,0.0,2.0,0.0,2.0
14211,uncomfortable,JJ,0.0,61.5023,16.084,31.8807,20.463,32.9855,0.0,11.0,4.0,10.0,7.0,32.0
14212,uncomfortably,RB,0.0,0.0,0.0,0.0,4.2661,0.3183,0.0,0.0,0.0,0.0,3.0,3.0
14213,uncommon,JJ,0.0,0.0,2.1495,7.5418,1.2183,4.1012,0.0,0.0,1.0,4.0,2.0,7.0
14214,uncomplicated,JJ,0.0,0.0,0.0,0.0,4.9989,0.6874,0.0,0.0,0.0,0.0,2.0,2.0
14215,uncomprehending,JJ,0.0,0.0,1.3622,0.0,0.0,0.0812,0.0,0.0,1.0,0.0,0.0,1.0
14216,unconditional,JJ,0.0,0.0,0.0,0.0,0.9605,0.0717,0.0,0.0,0.0,0.0,1.0,1.0
14217,unconnected,JJ,0.0,0.0,0.0,0.0,0.8152,0.2268,0.0,0.0,0.0,0.0,1.0,1.0
14218,unconscious,JJ,0.0,1.5223,0.0,24.7366,20.3368,12.066,0.0,3.0,0.0,7.0,5.0,15.0
14219,unconsciously,RB,0.0,0.0,0.0,0.0,1.0665,0.0796,0.0,0.0,0.0,0.0,1.0,1.0
14220,uncontrollable,JJ,0.0,0.0,0.0,0.6524,5.0999,1.4967,0.0,0.0,0.0,1.0,2.0,3.0
14221,uncontrollably,RB,0.0,0.0,0.0,0.6524,0.0,0.0555,0.0,0.0,0.0,1.0,0.0,1.0
14222,uncontrolled,JJ,0.0,0.0,0.0,0.0,1.0665,0.0796,0.0,0.0,0.0,0.0,1.0,1.0
14223,unconventional,JJ,0.0,0.0,0.0,0.0,0.1559,0.0314,0.0,0.0,0.0,0.0,1.0,1.0
14224,unconvincing,JJ,0.0,0.0,0.0,0.1311,0.0,0.0314,0.0,0.0,0.0,1.0,0.0,1.0
14225,uncooperative,JJ,0.0,0.0,0.0,0.0,0.9605,0.0717,0.0,0.0,0.0,0.0,1.0,1.0
14226,uncover,VB,0.0,0.0,2.1495,5.7393,5.0183,4.0819,0.0,0.0,1.0,2.0,2.0,5.0
